row	column	cell_passage	conc_first_treatment_nm	coumpound_ID	compound_first_treatment	conc_second_treatment	cell_type	compound_second_treatment	well_removal	batch_reagent_first_treatment	batch_reagent_second_treatment	compound_pre_treatment	conc_pre_treatment	cell_number	comments_assay	well	batch_reagent_first_treatment_in_aggregate	batch_reagent_second_treatment_in_aggregate	treatment_annotation
G	7	Mixt20230321f20220519NCWBt20230322f20211219FC	0.5	NA	XXXX-Nle-L5-04_Multiplex2023Mar	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		G7	Multiplex2023Mar	Pur-2021May	XXXX-Nle-L5-04_Multiplex2023Mar + XXXX-WT-fixed_Pur-2021May
G	8	Mixt20230321f20220519NCWBt20230322f20211219FC	1	NA	XXXX-YYYYY-NGS-MALO-3_Multiplex-2022May	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		G8	Multiplex-2022May	Pur-2021May	XXXX-YYYYY-NGS-MALO-3_Multiplex-2022May + XXXX-WT-fixed_Pur-2021May
G	9	Mixt20230321f20220519NCWBt20230322f20211219FC	0.5	NA	XXXX-Nle-L5-05_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		G9	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-05_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
G	10	Mixt20230321f20220519NCWBt20230322f20211219FC	0.5	NA	XXXX-YYYYY-NGS-MALO-3_Multiplex-2022May	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		G10	Multiplex-2022May	Pur-2021May	XXXX-YYYYY-NGS-MALO-3_Multiplex-2022May + XXXX-WT-fixed_Pur-2021May
G	11	Mixt20230321f20220519NCWBt20230322f20211219FC	0.5	NA	XXXX-Nle-L5-06_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		G11	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-06_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
G	12	Mixt20230321f20220519NCWBt20230322f20211219FC	0.25	NA	XXXX-YYYYY-NGS-MALO-3_Multiplex-2022May	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		G12	Multiplex-2022May	Pur-2021May	XXXX-YYYYY-NGS-MALO-3_Multiplex-2022May + XXXX-WT-fixed_Pur-2021May
G	13	Mixt20230321f20220519NCWBt20230322f20211219FC	0.5	NA	XXXX-Nle-L5-07_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		G13	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-07_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
G	14	Mixt20230321f20220519NCWBt20230322f20211219FC	0.125	NA	XXXX-YYYYY-NGS-MALO-3_Multiplex-2022May	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		G14	Multiplex-2022May	Pur-2021May	XXXX-YYYYY-NGS-MALO-3_Multiplex-2022May + XXXX-WT-fixed_Pur-2021May
G	15	Mixt20230321f20220519NCWBt20230322f20211219FC	0.5	NA	XXXX-Nle-L5-08_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		G15	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-08_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
G	16	Mixt20230321f20220519NCWBt20230322f20211219FC	0.0625	NA	XXXX-YYYYY-NGS-MALO-3_Multiplex-2022May	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		G16	Multiplex-2022May	Pur-2021May	XXXX-YYYYY-NGS-MALO-3_Multiplex-2022May + XXXX-WT-fixed_Pur-2021May
G	17	Mixt20230321f20220519NCWBt20230322f20211219FC	0.5	NA	XXXX-Nle-L5-09_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		G17	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-09_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
G	18	Mixt20230321f20220519NCWBt20230322f20211219FC	0.03125	NA	XXXX-YYYYY-NGS-MALO-3_Multiplex-2022May	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		G18	Multiplex-2022May	Pur-2021May	XXXX-YYYYY-NGS-MALO-3_Multiplex-2022May + XXXX-WT-fixed_Pur-2021May
G	19	Mixt20230321f20220519NCWBt20230322f20211219FC	0.5	NA	XXXX-Nle-L5-10_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		G19	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-10_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
G	20	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	NA	Buffer	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	NA	NA	NA	NA	40000		G20	Buffer	Pur-2021May	Buffer + XXXX-WT-fixed_Pur-2021May
G	21	Mixt20230321f20220519NCWBt20230322f20211219FC	0.5	NA	XXXX-Nle-L5-11_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		G21	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-11_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
G	22	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	NA	Buffer	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	NA	NA	NA	NA	40000		G22	Buffer	Pur-2021May	Buffer + XXXX-WT-fixed_Pur-2021May
G	23	Mixt20230321f20220519NCWBt20230322f20211219FC	0.5	NA	XXXX-Nle-L5-12_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		G23	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-12_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
G	24	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	NA	Buffer	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	NA	NA	NA	NA	40000		G24	Buffer	Pur-2021May	Buffer + XXXX-WT-fixed_Pur-2021May
H	1	Mixt20230321f20220519NCWBt20230322f20211219FC	1	NA	XXXX-Nle-L5-01_Multiplex2023Mar	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		H1	Multiplex2023Mar	Pur-2021May	XXXX-Nle-L5-01_Multiplex2023Mar + XXXX-WT-fixed_Pur-2021May
H	2	Mixt20230321f20220519NCWBt20230322f20211219FC	0.03125	NA	XXXX-Nle-L5-01_Multiplex2023Mar	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		H2	Multiplex2023Mar	Pur-2021May	XXXX-Nle-L5-01_Multiplex2023Mar + XXXX-WT-fixed_Pur-2021May
H	3	Mixt20230321f20220519NCWBt20230322f20211219FC	1	NA	XXXX-Nle-L5-02_Multiplex2023Mar	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		H3	Multiplex2023Mar	Pur-2021May	XXXX-Nle-L5-02_Multiplex2023Mar + XXXX-WT-fixed_Pur-2021May
H	4	Mixt20230321f20220519NCWBt20230322f20211219FC	0.03125	NA	XXXX-Nle-L5-02_Multiplex2023Mar	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		H4	Multiplex2023Mar	Pur-2021May	XXXX-Nle-L5-02_Multiplex2023Mar + XXXX-WT-fixed_Pur-2021May
H	5	Mixt20230321f20220519NCWBt20230322f20211219FC	1	NA	XXXX-Nle-L5-03_Multiplex2023Mar	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		H5	Multiplex2023Mar	Pur-2021May	XXXX-Nle-L5-03_Multiplex2023Mar + XXXX-WT-fixed_Pur-2021May
H	6	Mixt20230321f20220519NCWBt20230322f20211219FC	0.03125	NA	XXXX-Nle-L5-03_Multiplex2023Mar	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		H6	Multiplex2023Mar	Pur-2021May	XXXX-Nle-L5-03_Multiplex2023Mar + XXXX-WT-fixed_Pur-2021May
H	7	Mixt20230321f20220519NCWBt20230322f20211219FC	1	NA	XXXX-Nle-L5-04_Multiplex2023Mar	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		H7	Multiplex2023Mar	Pur-2021May	XXXX-Nle-L5-04_Multiplex2023Mar + XXXX-WT-fixed_Pur-2021May
H	8	Mixt20230321f20220519NCWBt20230322f20211219FC	0.03125	NA	XXXX-Nle-L5-04_Multiplex2023Mar	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		H8	Multiplex2023Mar	Pur-2021May	XXXX-Nle-L5-04_Multiplex2023Mar + XXXX-WT-fixed_Pur-2021May
H	9	Mixt20230321f20220519NCWBt20230322f20211219FC	1	NA	XXXX-Nle-L5-05_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		H9	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-05_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
H	10	Mixt20230321f20220519NCWBt20230322f20211219FC	0.03125	NA	XXXX-Nle-L5-05_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		H10	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-05_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
H	11	Mixt20230321f20220519NCWBt20230322f20211219FC	1	NA	XXXX-Nle-L5-06_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		H11	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-06_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
H	12	Mixt20230321f20220519NCWBt20230322f20211219FC	0.03125	NA	XXXX-Nle-L5-06_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		H12	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-06_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
H	13	Mixt20230321f20220519NCWBt20230322f20211219FC	1	NA	XXXX-Nle-L5-07_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		H13	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-07_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
H	14	Mixt20230321f20220519NCWBt20230322f20211219FC	0.03125	NA	XXXX-Nle-L5-07_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		H14	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-07_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
H	15	Mixt20230321f20220519NCWBt20230322f20211219FC	1	NA	XXXX-Nle-L5-08_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		H15	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-08_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
H	16	Mixt20230321f20220519NCWBt20230322f20211219FC	0.03125	NA	XXXX-Nle-L5-08_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		H16	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-08_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
H	17	Mixt20230321f20220519NCWBt20230322f20211219FC	1	NA	XXXX-Nle-L5-09_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		H17	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-09_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
H	18	Mixt20230321f20220519NCWBt20230322f20211219FC	0.03125	NA	XXXX-Nle-L5-09_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		H18	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-09_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
H	19	Mixt20230321f20220519NCWBt20230322f20211219FC	1	NA	XXXX-Nle-L5-10_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		H19	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-10_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
H	20	Mixt20230321f20220519NCWBt20230322f20211219FC	0.03125	NA	XXXX-Nle-L5-10_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		H20	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-10_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
H	21	Mixt20230321f20220519NCWBt20230322f20211219FC	1	NA	XXXX-Nle-L5-11_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		H21	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-11_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
H	22	Mixt20230321f20220519NCWBt20230322f20211219FC	0.03125	NA	XXXX-Nle-L5-11_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		H22	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-11_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
H	23	Mixt20230321f20220519NCWBt20230322f20211219FC	1	NA	XXXX-Nle-L5-12_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		H23	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-12_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
H	24	Mixt20230321f20220519NCWBt20230322f20211219FC	0.03125	NA	XXXX-Nle-L5-12_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		H24	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-12_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
I	1	Mixt20230321f20220519NCWBt20230322f20211219FC	2	NA	XXXX-Nle-L5-01_Multiplex2023Mar	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		I1	Multiplex2023Mar	Pur-2021May	XXXX-Nle-L5-01_Multiplex2023Mar + XXXX-WT-fixed_Pur-2021May
I	2	Mixt20230321f20220519NCWBt20230322f20211219FC	0.0625	NA	XXXX-Nle-L5-01_Multiplex2023Mar	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		I2	Multiplex2023Mar	Pur-2021May	XXXX-Nle-L5-01_Multiplex2023Mar + XXXX-WT-fixed_Pur-2021May
I	3	Mixt20230321f20220519NCWBt20230322f20211219FC	2	NA	XXXX-Nle-L5-02_Multiplex2023Mar	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		I3	Multiplex2023Mar	Pur-2021May	XXXX-Nle-L5-02_Multiplex2023Mar + XXXX-WT-fixed_Pur-2021May
I	4	Mixt20230321f20220519NCWBt20230322f20211219FC	0.0625	NA	XXXX-Nle-L5-02_Multiplex2023Mar	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		I4	Multiplex2023Mar	Pur-2021May	XXXX-Nle-L5-02_Multiplex2023Mar + XXXX-WT-fixed_Pur-2021May
I	5	Mixt20230321f20220519NCWBt20230322f20211219FC	2	NA	XXXX-Nle-L5-03_Multiplex2023Mar	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		I5	Multiplex2023Mar	Pur-2021May	XXXX-Nle-L5-03_Multiplex2023Mar + XXXX-WT-fixed_Pur-2021May
I	6	Mixt20230321f20220519NCWBt20230322f20211219FC	0.0625	NA	XXXX-Nle-L5-03_Multiplex2023Mar	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		I6	Multiplex2023Mar	Pur-2021May	XXXX-Nle-L5-03_Multiplex2023Mar + XXXX-WT-fixed_Pur-2021May
I	7	Mixt20230321f20220519NCWBt20230322f20211219FC	2	NA	XXXX-Nle-L5-04_Multiplex2023Mar	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		I7	Multiplex2023Mar	Pur-2021May	XXXX-Nle-L5-04_Multiplex2023Mar + XXXX-WT-fixed_Pur-2021May
I	8	Mixt20230321f20220519NCWBt20230322f20211219FC	0.0625	NA	XXXX-Nle-L5-04_Multiplex2023Mar	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		I8	Multiplex2023Mar	Pur-2021May	XXXX-Nle-L5-04_Multiplex2023Mar + XXXX-WT-fixed_Pur-2021May
I	9	Mixt20230321f20220519NCWBt20230322f20211219FC	2	NA	XXXX-Nle-L5-05_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		I9	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-05_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
I	10	Mixt20230321f20220519NCWBt20230322f20211219FC	0.0625	NA	XXXX-Nle-L5-05_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		I10	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-05_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
I	11	Mixt20230321f20220519NCWBt20230322f20211219FC	2	NA	XXXX-Nle-L5-06_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		I11	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-06_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
I	12	Mixt20230321f20220519NCWBt20230322f20211219FC	0.0625	NA	XXXX-Nle-L5-06_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		I12	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-06_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
I	13	Mixt20230321f20220519NCWBt20230322f20211219FC	2	NA	XXXX-Nle-L5-07_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		I13	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-07_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
I	14	Mixt20230321f20220519NCWBt20230322f20211219FC	0.0625	NA	XXXX-Nle-L5-07_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		I14	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-07_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
I	15	Mixt20230321f20220519NCWBt20230322f20211219FC	2	NA	XXXX-Nle-L5-08_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		I15	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-08_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
I	16	Mixt20230321f20220519NCWBt20230322f20211219FC	0.0625	NA	XXXX-Nle-L5-08_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		I16	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-08_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
I	17	Mixt20230321f20220519NCWBt20230322f20211219FC	2	NA	XXXX-Nle-L5-09_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		I17	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-09_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
I	18	Mixt20230321f20220519NCWBt20230322f20211219FC	0.0625	NA	XXXX-Nle-L5-09_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		I18	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-09_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
I	19	Mixt20230321f20220519NCWBt20230322f20211219FC	2	NA	XXXX-Nle-L5-10_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		I19	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-10_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
I	20	Mixt20230321f20220519NCWBt20230322f20211219FC	0.0625	NA	XXXX-Nle-L5-10_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		I20	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-10_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
I	21	Mixt20230321f20220519NCWBt20230322f20211219FC	2	NA	XXXX-Nle-L5-11_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		I21	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-11_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
I	22	Mixt20230321f20220519NCWBt20230322f20211219FC	0.0625	NA	XXXX-Nle-L5-11_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		I22	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-11_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
I	23	Mixt20230321f20220519NCWBt20230322f20211219FC	2	NA	XXXX-Nle-L5-12_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		I23	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-12_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
I	24	Mixt20230321f20220519NCWBt20230322f20211219FC	0.0625	NA	XXXX-Nle-L5-12_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		I24	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-12_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
J	1	Mixt20230321f20220519NCWBt20230322f20211219FC	4	NA	XXXX-Nle-L5-01_Multiplex2023Mar	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		J1	Multiplex2023Mar	Pur-2021May	XXXX-Nle-L5-01_Multiplex2023Mar + XXXX-WT-fixed_Pur-2021May
J	2	Mixt20230321f20220519NCWBt20230322f20211219FC	0.125	NA	XXXX-Nle-L5-01_Multiplex2023Mar	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		J2	Multiplex2023Mar	Pur-2021May	XXXX-Nle-L5-01_Multiplex2023Mar + XXXX-WT-fixed_Pur-2021May
J	3	Mixt20230321f20220519NCWBt20230322f20211219FC	4	NA	XXXX-Nle-L5-02_Multiplex2023Mar	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		J3	Multiplex2023Mar	Pur-2021May	XXXX-Nle-L5-02_Multiplex2023Mar + XXXX-WT-fixed_Pur-2021May
J	4	Mixt20230321f20220519NCWBt20230322f20211219FC	0.125	NA	XXXX-Nle-L5-02_Multiplex2023Mar	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		J4	Multiplex2023Mar	Pur-2021May	XXXX-Nle-L5-02_Multiplex2023Mar + XXXX-WT-fixed_Pur-2021May
J	5	Mixt20230321f20220519NCWBt20230322f20211219FC	4	NA	XXXX-Nle-L5-03_Multiplex2023Mar	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		J5	Multiplex2023Mar	Pur-2021May	XXXX-Nle-L5-03_Multiplex2023Mar + XXXX-WT-fixed_Pur-2021May
J	6	Mixt20230321f20220519NCWBt20230322f20211219FC	0.125	NA	XXXX-Nle-L5-03_Multiplex2023Mar	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		J6	Multiplex2023Mar	Pur-2021May	XXXX-Nle-L5-03_Multiplex2023Mar + XXXX-WT-fixed_Pur-2021May
J	7	Mixt20230321f20220519NCWBt20230322f20211219FC	4	NA	XXXX-Nle-L5-04_Multiplex2023Mar	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		J7	Multiplex2023Mar	Pur-2021May	XXXX-Nle-L5-04_Multiplex2023Mar + XXXX-WT-fixed_Pur-2021May
J	8	Mixt20230321f20220519NCWBt20230322f20211219FC	0.125	NA	XXXX-Nle-L5-04_Multiplex2023Mar	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		J8	Multiplex2023Mar	Pur-2021May	XXXX-Nle-L5-04_Multiplex2023Mar + XXXX-WT-fixed_Pur-2021May
J	9	Mixt20230321f20220519NCWBt20230322f20211219FC	4	NA	XXXX-Nle-L5-05_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		J9	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-05_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
J	10	Mixt20230321f20220519NCWBt20230322f20211219FC	0.125	NA	XXXX-Nle-L5-05_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		J10	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-05_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
J	11	Mixt20230321f20220519NCWBt20230322f20211219FC	4	NA	XXXX-Nle-L5-06_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		J11	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-06_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
J	12	Mixt20230321f20220519NCWBt20230322f20211219FC	0.125	NA	XXXX-Nle-L5-06_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		J12	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-06_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
J	13	Mixt20230321f20220519NCWBt20230322f20211219FC	4	NA	XXXX-Nle-L5-07_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		J13	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-07_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
