experiment_phase	cell_type	cell_passage	analysis_set	compound_first_treatment	batch_reagent_first_treatment	Date	baseline_norm_method	peak_height_normalization_method	peak_height_normalizator_annotation	response_calculation_method_reference_point	compound_second_treatment	batch_reagent_second_treatment	conc_second_treatment	treatment_annotation	min_conc_for_DR_stim_index	max_conc_for_DR_stim_index	nb_points_for_DR_stim_index	items	checking_auc_criteria	DR_stim_index_type	response_calculation_method	response	comments	nb_replicates_not_going_back_to_baseline	max_cv_replicates	mean_cv_replicates	Analog	curve_smoothing
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	CaFlux-L4&L5-20230421	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	2023-04-21	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	baseline	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	0.03125	8	27	27	TRUE	auc_log_DR	auc	28.108646	NA	NA	1.7284748	1.0978557	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	CaFlux-L4&L5-20230421	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	2023-04-21	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	baseline	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	0.03125	8	27	27	TRUE	auc_log_DR	ratio_end_start_delta_over_peak_height	0	NA	NA	NA	NA	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	CaFlux-L4&L5-20230421	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	2023-04-21	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	baseline	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	0.03125	8	27	27	TRUE	auc_log_DR	slope_to_peak	6.3217686e-6	NA	NA	5.4986994	2.7708106	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	CaFlux-L4&L5-20230421	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	2023-04-21	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	baseline	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	0.03125	8	27	27	TRUE	auc_log_DR	time_at_half_value_peak_height	836.02532	NA	NA	2.3131864e-4	2.3131864e-4	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	CaFlux-L4&L5-20230421	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	2023-04-21	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	baseline	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	0.03125	8	27	27	TRUE	auc_log_DR	time_at_peak	836.02532	NA	NA	2.3131864e-4	2.3131864e-4	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	CaFlux-L4&L5-20230421	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	2023-04-21	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	baseline	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	0.03125	8	27	27	TRUE	auc_log_DR	time_to_reach_half_peak_height	711.29535	NA	NA	2.718788e-4	2.718788e-4	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	CaFlux-L4&L5-20230421	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	2023-04-21	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	baseline	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	0.03125	8	27	27	TRUE	auc_log_DR	value_at_half_phase	0.092325462	NA	NA	NA	NA	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	CaFlux-L4&L5-20230421	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	2023-04-21	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	baseline	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	0.03125	8	27	27	TRUE	auc_log_DR	value_end	0.098524942	NA	NA	316.80763	37.095447	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	CaFlux-L4&L5-20230421	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	2023-04-21	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	baseline	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	0.03125	8	27	27	TRUE	auc_log_DR	value_end_start_delta	0.097597267	NA	NA	51.895826	7.6468398	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	CaFlux-L4&L5-20230421	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	2023-04-21	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	baseline	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	0.03125	8	27	27	TRUE	auc_log_DR	value_peak_height	0	NA	NA	NA	NA	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	CaFlux-L4&L5-20230421	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	2023-04-21	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	baseline	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	0.03125	8	27	27	TRUE	auc_log_DR	value_start	0.004816837	NA	NA	5.4959905	2.7703419	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	CaFlux-L4&L5-20230421	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	2023-04-21	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	t0phase	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	0.03125	8	27	27	TRUE	auc_log_DR	auc	27.975094	NA	7	1.7319704	1.1355324	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	CaFlux-L4&L5-20230421	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	2023-04-21	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	t0phase	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	0.03125	8	27	27	TRUE	auc_log_DR	ratio_end_start_delta_over_peak_height	0.63199807	NA	7	NA	NA	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	CaFlux-L4&L5-20230421	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	2023-04-21	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	t0phase	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	0.03125	8	27	27	TRUE	auc_log_DR	slope_to_peak	0.0014855716	NA	7	1.7320508	1.1950523	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	CaFlux-L4&L5-20230421	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	2023-04-21	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	t0phase	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	0.03125	8	27	27	TRUE	auc_log_DR	time_at_half_value_peak_height	757.08923	NA	7	0.60521566	0.20252159	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	CaFlux-L4&L5-20230421	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	2023-04-21	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	t0phase	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	0.03125	8	27	27	TRUE	auc_log_DR	time_at_peak	621.87273	NA	7	0.63284869	0.36724	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	CaFlux-L4&L5-20230421	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	2023-04-21	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	t0phase	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	0.03125	8	27	27	TRUE	auc_log_DR	time_to_reach_half_peak_height	632.35926	NA	7	0.75777685	0.25191751	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	CaFlux-L4&L5-20230421	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	2023-04-21	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	t0phase	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	0.03125	8	27	27	TRUE	auc_log_DR	value_at_half_phase	0.091923224	NA	7	NA	NA	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	CaFlux-L4&L5-20230421	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	2023-04-21	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	t0phase	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	0.03125	8	27	27	TRUE	auc_log_DR	value_end	0.097719138	NA	7	46.633263	7.073054	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	CaFlux-L4&L5-20230421	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	2023-04-21	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	t0phase	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	0.03125	8	27	27	TRUE	auc_log_DR	value_end_start_delta	0.097719138	NA	7	46.633263	7.073054	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	CaFlux-L4&L5-20230421	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	2023-04-21	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	t0phase	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	0.03125	8	27	27	TRUE	auc_log_DR	value_peak_height	0.136177	NA	7	1.7320509	0.9943805	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	CaFlux-L4&L5-20230421	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	2023-04-21	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	t0phase	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	0.03125	8	27	27	TRUE	auc_log_DR	value_start	0	NA	7	NA	NA	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	NA	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	baseline	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	NA	NA	NA	NA	NA	NA	nplr_CTRL_from_auc	NA	NA	NA	NA	NA	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	NA	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	baseline	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	NA	NA	NA	NA	NA	NA	nplr_CTRL_from_slope_to_peak	NA	NA	NA	NA	NA	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	NA	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	baseline	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	NA	NA	NA	NA	NA	NA	nplr_CTRL_from_value_peak_height	NA	NA	NA	NA	NA	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	NA	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	baseline	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	NA	NA	NA	NA	NA	NA	nplr_EC50_from_auc	NA	Curve fitting failed	NA	NA	NA	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	NA	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	baseline	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	NA	NA	NA	NA	NA	NA	nplr_EC50_from_slope_to_peak	NA	Curve fitting failed	NA	NA	NA	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	NA	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	baseline	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	NA	NA	NA	NA	NA	NA	nplr_EC50_from_value_peak_height	NA	Curve fitting failed	NA	NA	NA	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	NA	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	baseline	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	NA	NA	NA	NA	NA	NA	nplr_Emax_from_auc	NA	NA	NA	NA	NA	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	NA	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	baseline	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	NA	NA	NA	NA	NA	NA	nplr_Emax_from_slope_to_peak	NA	NA	NA	NA	NA	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	NA	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	baseline	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	NA	NA	NA	NA	NA	NA	nplr_Emax_from_value_peak_height	NA	NA	NA	NA	NA	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	NA	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	baseline	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	NA	NA	NA	NA	NA	NA	nplr_Emin_from_auc	NA	NA	NA	NA	NA	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	NA	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	baseline	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	NA	NA	NA	NA	NA	NA	nplr_Emin_from_slope_to_peak	NA	NA	NA	NA	NA	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	NA	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	baseline	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	NA	NA	NA	NA	NA	NA	nplr_Emin_from_value_peak_height	NA	NA	NA	NA	NA	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	NA	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	baseline	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	NA	NA	NA	NA	NA	NA	nplr_T0_from_auc	NA	NA	NA	NA	NA	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	NA	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	baseline	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	NA	NA	NA	NA	NA	NA	nplr_T0_from_slope_to_peak	NA	NA	NA	NA	NA	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	NA	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	baseline	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	NA	NA	NA	NA	NA	NA	nplr_T0_from_value_peak_height	NA	NA	NA	NA	NA	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	NA	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	baseline	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	NA	NA	NA	NA	NA	NA	nplr_gof_from_auc	NA	NA	NA	NA	NA	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	NA	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	baseline	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	NA	NA	NA	NA	NA	NA	nplr_gof_from_slope_to_peak	NA	NA	NA	NA	NA	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	NA	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	baseline	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	NA	NA	NA	NA	NA	NA	nplr_gof_from_value_peak_height	NA	NA	NA	NA	NA	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	NA	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	baseline	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	NA	NA	NA	NA	NA	NA	nplr_nb_from_auc	NA	NA	NA	NA	NA	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	NA	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	baseline	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	NA	NA	NA	NA	NA	NA	nplr_nb_from_slope_to_peak	NA	NA	NA	NA	NA	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	NA	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	baseline	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	NA	NA	NA	NA	NA	NA	nplr_nb_from_value_peak_height	NA	NA	NA	NA	NA	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	NA	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	baseline	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	NA	NA	NA	NA	NA	NA	nplr_pEC50_from_auc	NA	Curve fitting failed	NA	NA	NA	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	NA	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	baseline	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	NA	NA	NA	NA	NA	NA	nplr_pEC50_from_slope_to_peak	NA	Curve fitting failed	NA	NA	NA	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	NA	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	baseline	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	NA	NA	NA	NA	NA	NA	nplr_pEC50_from_value_peak_height	NA	Curve fitting failed	NA	NA	NA	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	NA	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	baseline	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	NA	NA	NA	NA	NA	NA	nplr_s_from_auc	NA	NA	NA	NA	NA	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	NA	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	baseline	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	NA	NA	NA	NA	NA	NA	nplr_s_from_slope_to_peak	NA	NA	NA	NA	NA	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	NA	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	baseline	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	NA	NA	NA	NA	NA	NA	nplr_s_from_value_peak_height	NA	NA	NA	NA	NA	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	NA	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	baseline	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	NA	NA	NA	NA	NA	NA	nplr_scal_from_auc	NA	NA	NA	NA	NA	XXXX-Nle-L4-13	rolling average of 10 points
