time_point	conc_first_treatment_nm	experiment_phase	cell_type	cell_passage	treatment_annotation	compound_first_treatment	compound_second_treatment	compound_pre_treatment	conc_pre_treatment	batch_reagent_first_treatment	batch_reagent_second_treatment	Date	adjusted_Time	baseline_norm_method	peak_height_normalization_method	peak_height_normalizator_annotation	blank_annotation	time_measure_s_offset	delta	sd	mean	cv	n	average_value	max_value	min_value	delta_max_min	delta_max_min_cv
time_at_absolute_max	NA	first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + XXXX-WT-fixed_Pur-2021May	Buffer	XXXX-WT-fixed_Pur-2021May	NA	NA	NA	NA	2023-04-21	15:51:46	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	99.89	0.27777675	0.07487868	1.0183911	0.073526448	12	NA	NA	NA	NA	NA
time_at_absolute_max	NA	first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + XXXX-WT-fixed_Pur-2021May	Buffer	XXXX-WT-fixed_Pur-2021May	NA	NA	NA	NA	2023-04-21	16:03:39	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	131.894	0.28128643	0.08602924	1.0116999	0.085034347	12	NA	NA	NA	NA	NA
time_at_absolute_max	NA	second_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + Buffer	Buffer	Buffer	NA	NA	NA	NA	2023-04-21	15:40:38	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	357.353	0.29728067	0.085786854	1	0.085786854	12	NA	NA	NA	NA	NA
time_at_absolute_max	NA	second_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + Buffer	Buffer	Buffer	NA	NA	NA	NA	2023-04-21	15:51:46	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	348.501	0.18548172	0.056497914	1	0.056497914	12	NA	NA	NA	NA	NA
time_at_absolute_max	NA	second_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + Buffer	Buffer	Buffer	NA	NA	NA	NA	2023-04-21	16:03:39	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	355.783	0.27147094	0.082705409	1	0.082705409	12	NA	NA	NA	NA	NA
time_at_absolute_max	NA	second_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + XXXX-WT-fixed_Pur-2021May	Buffer	XXXX-WT-fixed_Pur-2021May	NA	NA	NA	NA	2023-04-21	15:40:38	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	368.054	0.70458077	0.20990341	1.9910259	0.10542475	12	NA	NA	NA	NA	NA
time_at_absolute_max	NA	second_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + XXXX-WT-fixed_Pur-2021May	Buffer	XXXX-WT-fixed_Pur-2021May	NA	NA	NA	NA	2023-04-21	15:51:46	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	366.906	0.6362228	0.173122	1.9999794	0.086561892	12	NA	NA	NA	NA	NA
time_at_absolute_max	NA	second_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + XXXX-WT-fixed_Pur-2021May	Buffer	XXXX-WT-fixed_Pur-2021May	NA	NA	NA	NA	2023-04-21	16:03:39	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	372.049	0.6884812	0.21766109	1.9960798	0.10904428	12	NA	NA	NA	NA	NA
time_at_absolute_min	NA	baseline	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + Buffer	Buffer	Buffer	NA	NA	NA	NA	2023-04-21	15:40:38	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	49.228	0.0049426315	0.0014492137	0.99871941	0.0014510719	12	NA	NA	NA	NA	NA
time_at_absolute_min	NA	baseline	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + Buffer	Buffer	Buffer	NA	NA	NA	NA	2023-04-21	15:51:46	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	19.69	0.0047872421	0.0014518209	0.99994884	0.0014518952	12	NA	NA	NA	NA	NA
time_at_absolute_min	NA	baseline	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + Buffer	Buffer	Buffer	NA	NA	NA	NA	2023-04-21	16:03:39	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	4.281	0.013145997	0.0034984115	0.99775072	0.0035062981	12	NA	NA	NA	NA	NA
time_at_absolute_min	NA	baseline	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + XXXX-WT-fixed_Pur-2021May	Buffer	XXXX-WT-fixed_Pur-2021May	NA	NA	NA	NA	2023-04-21	15:40:38	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	7.706	0.0094087948	0.0028159074	0.99840873	0.0028203954	12	NA	NA	NA	NA	NA
time_at_absolute_min	NA	baseline	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + XXXX-WT-fixed_Pur-2021May	Buffer	XXXX-WT-fixed_Pur-2021May	NA	NA	NA	NA	2023-04-21	15:51:46	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	4.282	0.021121221	0.0056012241	0.99847697	0.0056097679	12	NA	NA	NA	NA	NA
time_at_absolute_min	NA	baseline	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + XXXX-WT-fixed_Pur-2021May	Buffer	XXXX-WT-fixed_Pur-2021May	NA	NA	NA	NA	2023-04-21	16:03:39	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	50.509	0.010937048	0.0032163635	0.99699441	0.0032260597	12	NA	NA	NA	NA	NA
time_at_absolute_min	NA	first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + Buffer	Buffer	Buffer	NA	NA	NA	NA	2023-04-21	15:40:38	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	144.389	0.2889755	0.076162203	0.98711944	0.077156016	12	NA	NA	NA	NA	NA
time_at_absolute_min	NA	first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + Buffer	Buffer	Buffer	NA	NA	NA	NA	2023-04-21	15:51:46	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	138.391	0.22014306	0.066065945	0.98173265	0.067295251	12	NA	NA	NA	NA	NA
time_at_absolute_min	NA	first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + Buffer	Buffer	Buffer	NA	NA	NA	NA	2023-04-21	16:03:39	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	329.244	0.23494574	0.06888511	0.98714209	0.069782365	12	NA	NA	NA	NA	NA
time_at_absolute_min	NA	first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + XXXX-WT-fixed_Pur-2021May	Buffer	XXXX-WT-fixed_Pur-2021May	NA	NA	NA	NA	2023-04-21	15:40:38	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	135.388	0.25618548	0.078036583	1.0140371	0.076956339	12	NA	NA	NA	NA	NA
time_at_absolute_min	NA	first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + XXXX-WT-fixed_Pur-2021May	Buffer	XXXX-WT-fixed_Pur-2021May	NA	NA	NA	NA	2023-04-21	15:51:46	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	136.89	0.2525365	0.074250611	1.0180909	0.07293122	12	NA	NA	NA	NA	NA
time_at_absolute_min	NA	first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + XXXX-WT-fixed_Pur-2021May	Buffer	XXXX-WT-fixed_Pur-2021May	NA	NA	NA	NA	2023-04-21	16:03:39	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	120.395	0.27929812	0.084906692	1.011298	0.083958133	12	NA	NA	NA	NA	NA
time_at_absolute_min	NA	second_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + Buffer	Buffer	Buffer	NA	NA	NA	NA	2023-04-21	15:40:38	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	518.384	0.24652998	0.080933398	1	0.080933398	12	NA	NA	NA	NA	NA
time_at_absolute_min	NA	second_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + Buffer	Buffer	Buffer	NA	NA	NA	NA	2023-04-21	15:51:46	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	354.493	0.180762	0.056885483	1	0.056885483	12	NA	NA	NA	NA	NA
